movie_id,title,title_zh,genres,year,avg_rating,rating_count,imdb_id,tmdb_id,region,poster_url
3273,Scream 3,驚聲尖叫3：終結篇,Comedy|Horror|Mystery|Thriller,2000.0,2.450255427841635,7830.0,134084,4234.0,US,https://image.tmdb.org/t/p/w500/krN0Qf1U7XPvTD3SvNNrcRVHLH6.jpg
3275,"Boondock Saints, The",神鬼尖兵,Action|Crime|Drama|Thriller,2000.0,3.855761764249107,12878.0,144117,8374.0,US,https://image.tmdb.org/t/p/w500/dqYD82d6IDh1RoTlFKNcjXrCYhB.jpg
3276,Gun Shy,愛情槍手,Comedy,2000.0,2.927899686520376,319.0,171356,29076.0,US,https://image.tmdb.org/t/p/w500/3GnnrUDhYfBZOtvttzeeOp7x9fj.jpg
3285,"Beach, The",海灘,Adventure|Drama,2000.0,3.1023452848722988,8144.0,163978,1907.0,GB,https://image.tmdb.org/t/p/w500/5VutXzHMgQ8QKN5gkiwsFwzHM3p.jpg
3287,"Tigger Movie, The",跳跳虎歷險記,Animation|Children,2000.0,2.9078467153284677,1096.0,220099,15655.0,US,https://image.tmdb.org/t/p/w500/9OdZKUdGfaBAUwRLbtWpFWKbILO.jpg
3298,Boiler Room,搶錢大作戰,Crime|Drama|Thriller,2000.0,3.4988685649632285,5303.0,181984,14181.0,US,https://image.tmdb.org/t/p/w500/jFB5uvCZ3HXF00liAEAuOruCPs6.jpg
3299,Hanging Up,來電傳情,Comedy|Drama,2000.0,2.32649667405765,902.0,162983,10385.0,US,https://image.tmdb.org/t/p/w500/lnnFFGhIXi6ZDU3r29eKHKTHdq0.jpg
3300,Pitch Black,星際傳奇,Horror|Sci-Fi|Thriller,2000.0,3.470555364511692,11632.0,134847,2787.0,US,https://image.tmdb.org/t/p/w500/mxMZMuQUIuMufxuHhi7Za6K4MYk.jpg
3301,"Whole Nine Yards, The",殺手不眨眼,Comedy|Crime,2000.0,3.3520396790013374,8972.0,190138,2069.0,US,https://image.tmdb.org/t/p/w500/teQyZpyxHwICOGvU8cvTZqRMNa3.jpg
3316,Reindeer Games,神鬼莫測,Action|Thriller,2000.0,2.648466033601169,2738.0,184858,2155.0,US,https://image.tmdb.org/t/p/w500/rtgqFke4d8lw0zKc3Bi4tD2ImOI.jpg
3354,Mission to Mars,火星任務,Sci-Fi,2000.0,2.6633015006821283,7330.0,183523,2067.0,US,https://image.tmdb.org/t/p/w500/11Ux4QT41Dg5Wh0OlSEp9UA1vLk.jpg
