index_id,movie_id,title,title_zh,genres,year,avg_rating,rating_count,imdb_id,tmdb_id,region,poster_url
1,4993,"Lord of the Rings: The Fellowship of the Ring, The",魔戒首部曲：魔戒現身,Adventure|Fantasy,2001.0,4.0921336943737865,73122.0,120737,120.0,US,https://image.tmdb.org/t/p/w500/k3EVt7MvjqNLJvt8mhZiaMr5J3V.jpg
2,5952,"Lord of the Rings: The Two Towers, The",魔戒二部曲：雙城奇謀,Adventure|Fantasy,2002.0,4.072187717711931,67463.0,167261,121.0,US,https://image.tmdb.org/t/p/w500/7De307Wku0eLKPHhkVMYVRTOCkQ.jpg
3,7153,"Lord of the Rings: The Return of the King, The",魔戒三部曲：王者再臨,Action|Adventure|Drama|Fantasy,2003.0,4.094360183249567,67449.0,167260,122.0,US,https://image.tmdb.org/t/p/w500/lgjEYpnVm5olPprvi8PPruLDorX.jpg
4,58559,"Dark Knight, The",黑暗騎士,Action|Crime|Drama|IMAX,2008.0,4.173349175851957,59334.0,468569,155.0,US,https://image.tmdb.org/t/p/w500/6pQMQQrnRWm2zweL5vWyyMHvAa6.jpg
5,79132,Inception,全面啟動,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,2010.0,4.157169736410557,57931.0,1375666,27205.0,US,https://image.tmdb.org/t/p/w500/aBGVsKeDn5gtegkyajPGBHWev25.jpg
6,3578,Gladiator,神鬼戰士,Action|Adventure|Drama,2000.0,3.961182962279587,57449.0,172495,98.0,US,https://image.tmdb.org/t/p/w500/ouJWDKwqtPj8gzeJoO7mHJ53AxZ.jpg
7,4306,Shrek,史瑞克,Adventure|Animation|Children|Comedy|Fantasy|Romance,2001.0,3.740491211436073,54844.0,126029,808.0,US,https://image.tmdb.org/t/p/w500/xCdATOO6ZTeGl7Mv9TvZ3lgCEwM.jpg
8,4226,Memento,記憶拼圖,Mystery|Thriller,2000.0,4.14160050691416,53658.0,209144,77.0,US,https://image.tmdb.org/t/p/w500/psE5eio91dVL1k5nTwPUNLp7Kuy.jpg
9,6539,Pirates of the Caribbean: The Curse of the Black Pearl,神鬼奇航：鬼盜船魔咒,Action|Adventure|Comedy|Fantasy,2003.0,3.78053035589672,48722.0,325980,22.0,US,https://image.tmdb.org/t/p/w500/h9fxh0rCIB5AviPgltp8JgeVSHz.jpg
10,6377,Finding Nemo,海底總動員,Adventure|Animation|Children|Comedy,2003.0,3.816499739854319,46128.0,266543,12.0,US,https://image.tmdb.org/t/p/w500/swwG5luwiCGEWMJ7w5ipVNOs7yZ.jpg
11,4886,"Monsters, Inc.",怪獸電力公司,Adventure|Animation|Children|Comedy|Fantasy,2001.0,3.8374424363541575,46036.0,198781,585.0,US,https://image.tmdb.org/t/p/w500/6MHbfGUxRGhY7WwDm6PICvDLsMF.jpg
12,6874,Kill Bill: Vol. 1,追殺比爾,Action|Crime|Thriller,2003.0,3.853561537609394,45135.0,266697,24.0,US,https://image.tmdb.org/t/p/w500/zsMZ11zStQ05g68qXNMSRBoBCxy.jpg
13,7361,Eternal Sunshine of the Spotless Mind,王牌冤家,Drama|Romance|Sci-Fi,2004.0,4.065293720459149,44430.0,338013,38.0,US,https://image.tmdb.org/t/p/w500/a10t6Etv9cHz5pTNl9RyqspbdnY.jpg
14,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",艾蜜莉的異想世界,Comedy|Romance,2001.0,4.082169401044663,43459.0,211915,194.0,FR,https://image.tmdb.org/t/p/w500/q4wDxoY3EtZgreA6aK9jh9LxPEM.jpg
15,33794,Batman Begins,蝙蝠俠：開戰時刻,Action|Crime|IMAX,2005.0,3.920404932111501,41686.0,372784,272.0,US,https://image.tmdb.org/t/p/w500/lXRSRP5QMfrr9cSiupvcGDJW1Sa.jpg
16,8961,"Incredibles, The",超人特攻隊,Action|Adventure|Animation|Children|Comedy,2004.0,3.848238188264236,41463.0,317705,9806.0,US,https://image.tmdb.org/t/p/w500/dpEy8gLKwHaf2NXDrDcJsEhdUrK.jpg
